"code","buildingPart","level","name","mapUri","mapSizeX","mapSizeY"
"g003000","bt0030","EG","Erdgeschoss","0000_d_00.pdf",7017,4963
"g003091","bt0030","EG Z","Zwischengeschoss","0000_d_00z.pdf",7017,4963
"g003001","bt0030","OG 01","1.Obergeschoss","0000_d_01.pdf",7017,4963
"g003092","bt0030","OG 01 Z","1.Zwischengeschoss","0000_d_01z.pdf",7017,4963
"g003002","bt0030","OG 02","2.Obergeschoss","0000_d_02.pdf",7017,4963
"g003093","bt0030","OG 02 Z","2.Zwischengeschoss","0000_d_02z.pdf",7017,4963
"g003003","bt0030","OG 03","3.Obergeschoss","0000_d_03.pdf",7017,4963
"g0030-1","bt0030","UG 01","1.Untergeschoss","0000_d_u1.pdf",7017,4963
"g004000","bt0040","EG","Erdgeschoss","0000_d_00.pdf",7017,4963
"g004091","bt0040","EG Z","Zwischengeschoss","0000_d_00z.pdf",7017,4963
"g004001","bt0040","OG 01","1.Obergeschoss","0000_d_01.pdf",7017,4963
"g004092","bt0040","OG 01 Z","1.Zwischengeschoss","0000_d_01z.pdf",7017,4963
"g004002","bt0040","OG 02","2.Obergeschoss","0000_d_02.pdf",7017,4963
"g004003","bt0040","OG 03","3.Obergeschoss","0000_d_03.pdf",7017,4963
"g0040-1","bt0040","UG 01","1.Untergeschoss","0000_d_u1.pdf",7017,4963
"g005000","bt0050","EG","Erdgeschoss","0050_d_00.pdf",4963,3508
"g005001","bt0050","OG 01","1.Obergeschoss","0050_d_01.pdf",4963,3508
"g005002","bt0050","OG 02","2.Obergeschoss","0050_d_02.pdf",4963,3508
"g005003","bt0050","OG 03","3.Obergeschoss","0050_d_03.pdf",4963,3508
"g005004","bt0050","OG 04","4.Obergeschoss","0050_d_04.pdf",4963,3508
"g005005","bt0050","OG 05","5.Obergeschoss","0050_d_05.pdf",4963,3508
"g0050-1","bt0050","UG 01","1.Untergeschoss","0050_d_u1.pdf",4963,3508
"g007000","bt0070","EG","Erdgeschoss","0070_d_00.pdf",3508,4963
"g007001","bt0070","OG 01","1.Obergeschoss","0070_d_01.pdf",3508,4963
"g007002","bt0070","OG 02","2.Obergeschoss","0070_d_02.pdf",3508,4963
"g007003","bt0070","OG 03","3.Obergeschoss","0070_d_03.pdf",3508,4963
"g007004","bt0070","OG 04","4.Obergeschoss","0070_d_04.pdf",3508,4963
"g007005","bt0070","OG 05","5.Obergeschoss","0070_d_05.pdf",3508,4963
"g0070-1","bt0070","UG 01","1.Untergeschoss","0070_d_u1.pdf",3508,4963
"g007300","bt0073","EG","Erdgeschoss","0070_d_00.pdf",3508,4963
"g007301","bt0073","OG 01","1.Obergeschoss","0070_d_01.pdf",3508,4963
"g007302","bt0073","OG 02","2.Obergeschoss","0070_d_02.pdf",3508,4963
"g007303","bt0073","OG 03","3.Obergeschoss","0070_d_03.pdf",3508,4963
"g007304","bt0073","OG 04","4.Obergeschoss","0070_d_04.pdf",3508,4963
"g007305","bt0073","OG 05","5.Obergeschoss","0070_d_05.pdf",3508,4963
"g0073-1","bt0073","UG 01","1.Untergeschoss","0070_d_u1.pdf",3508,4963
"g009000","bt0090","EG","Erdgeschoss","0090_d_00.pdf",2479,3508
"g009001","bt0090","OG 01","1.Obergeschoss","0090_d_01.pdf",3508,2479
"g009002","bt0090","OG 02","2.Obergeschoss","0090_d_02.pdf",3508,2479
"g009003","bt0090","OG 03","3.Obergeschoss","0090_d_03.pdf",3508,2479
"g009004","bt0090","OG 04","4.Obergeschoss","0090_d_04.pdf",3508,2479
"g010400","bt0104","EG","Erdgeschoss","0104_d_00.pdf",3508,2479
"g010401","bt0104","OG 01","1.Obergeschoss","0104_d_01.pdf",3508,2479
"g010402","bt0104","OG 02","2.Obergeschoss","0104_d_02.pdf",3508,2479
"g010403","bt0104","OG 03","3.Obergeschoss","0104_d_03.pdf",3508,2479
"g010404","bt0104","OG 04","4.Obergeschoss","0104_d_04.pdf",3508,2479
"g011000","bt0110","EG","Erdgeschoss","0122_d_00.pdf",4963,3508
"g011001","bt0110","OG 01","1.Obergeschoss","0122_d_01.pdf",4963,3508
"g011002","bt0110","OG 02","2.Obergeschoss","0122_d_02.pdf",4963,3508
"g011003","bt0110","OG 03","3.Obergeschoss","0122_d_03.pdf",4963,3508
"g011004","bt0110","OG 04","4.Obergeschoss","0122_d_04.pdf",4963,3508
"g012000","bt0120","EG","Erdgeschoss","0122_d_00.pdf",4963,3508
"g012001","bt0120","OG 01","1.Obergeschoss","0122_d_01.pdf",4963,3508
"g012002","bt0120","OG 02","2.Obergeschoss","0122_d_02.pdf",4963,3508
"g012003","bt0120","OG 03","3.Obergeschoss","0122_d_03.pdf",4963,3508
"g012004","bt0120","OG 04","4.Obergeschoss","0122_d_04.pdf",4963,3508
"g012100","bt0121","EG","Erdgeschoss","0122_d_00.pdf",4963,3508
"g012300","bt0123","EG","Erdgeschoss","0122_d_00.pdf",4963,3508
"g012101","bt0121","OG 01","1.Obergeschoss","0122_d_01.pdf",4963,3508
"g012301","bt0123","OG 01","1.Obergeschoss","0122_d_01.pdf",4963,3508
"g012102","bt0121","OG 02","2.Obergeschoss","0122_d_02.pdf",4963,3508
"g012103","bt0121","OG 03","3.Obergeschoss","0122_d_03.pdf",4963,3508
"g012104","bt0121","OG 04","4.Obergeschoss","0122_d_04.pdf",4963,3508
"g012200","bt0122","EG","Erdgeschoss","0122_d_00.pdf",4963,3508
"g012201","bt0122","OG 01","1.Obergeschoss","0122_d_01.pdf",4963,3508
"g012202","bt0122","OG 02","2.Obergeschoss","0122_d_02.pdf",4963,3508
"g012203","bt0122","OG 03","3.Obergeschoss","0122_d_03.pdf",4963,3508
"g012204","bt0122","OG 04","4.Obergeschoss","0122_d_04.pdf",4963,3508
"g014700","bt0147","EG","Erdgeschoss","0147_d_00.pdf",3508,2479
"g014701","bt0147","OG 01","1.Obergeschoss","0147_d_01.pdf",3508,2479
"g014702","bt0147","OG 02","2.Obergeschoss","0147_d_02.pdf",3508,2479
"g015100","bt0151","EG","Erdgeschoss","0151_d_00.pdf",3508,2479
"g015102","bt0151","OG 02","2.Obergeschoss","0151_d_02.pdf",3508,2479
"g015103","bt0151","OG 03","3.Obergeschoss","0151_d_03.pdf",3508,2479
"g015104","bt0151","OG 04","4.Obergeschoss","0151_d_04.pdf",3508,2479
"g020300","bt0203","EG","Erdgeschoss","0203_d_00.pdf",5263,3719
"g020301","bt0203","OG 01","1.Obergeschoss","0203_d_01.pdf",5263,3719
"g020302","bt0203","OG 02","2.Obergeschoss","0203_d_02.pdf",5263,3719
"g020303","bt0203","OG 03","3.Obergeschoss","0203_d_03.pdf",5263,3719
"g020304","bt0203","OG 04","4.Obergeschoss","0203_d_04.pdf",5263,3719
"g020305","bt0203","OG 05","5.Obergeschoss","0203_d_05.pdf",5263,3719
"g0203-1","bt0203","UG 01","1.Untergeschoss","0203_d_u1.pdf",5263,3719
"g0203-2","bt0203","UG 02","2.Untergeschoss","0203_d_u2.pdf",5263,3719
"g025001","bt0250","OG 01","1.Obergeschoss","0250_d_01.pdf",3508,4963
"g025002","bt0250","OG 02","2.Obergeschoss","0250_d_02.pdf",2479,3508
"g025003","bt0250","OG 03","3.Obergeschoss","0250_d_03.pdf",3508,4963
"g025100","bt0251","EG","Erdgeschoss","0251_d_00.pdf",2479,3508
"g025101","bt0251","OG 01","1.Obergeschoss","0251_d_01.pdf",2479,3508
"g025102","bt0251","OG 02","2.Obergeschoss","0251_d_02.pdf",2479,3508
"g025103","bt0251","OG 03","3.Obergeschoss","0251_d_03.pdf",2479,3508
"g025104","bt0251","OG 04","4.Obergeschoss","0251_d_04.pdf",2479,3508
"g025200","bt0252","EG","Erdgeschoss","0252_d_00.pdf",3508,2479
"g025201","bt0252","OG 01","1.Obergeschoss","0252_d_01.pdf",3508,2479
"g025202","bt0252","OG 02","2.Obergeschoss","0252_d_02.pdf",3508,2479
"g025203","bt0252","OG 03","3.Obergeschoss","0252_d_03.pdf",3508,2479
"g027000","bt0270","EG","Erdgeschoss","0270_d_00.pdf",2479,3508
"g027001","bt0270","OG 01","1.Obergeschoss","0270_d_01.pdf",2479,3508
"g027002","bt0270","OG 02","2.Obergeschoss","0270_d_02.pdf",2479,3508
"g027003","bt0270","OG 03","3.Obergeschoss","0270_d_03.pdf",2479,3508
"g027004","bt0270","OG 04","4.Obergeschoss","0270_d_04.pdf",2479,3508
