GCode;Stadtcode;Straßencode;BWCode;BTCode;Geschoss;Benennung;Raumnummer;RCode;Dateiname
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U111;0000-1030_;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U111A;0000-1111A;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U112;0000-1022_;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U112A;0000-1022A;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U113;0000-1031_;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U114;0000-1021_;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U115;0000-1034_;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U116;0000-1018_;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U117;0000-1034A;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U118;0000-1020_;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U120;0000-1019C;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U120A;0000-1019D;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U121;0000-1034C;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U122;0000-1019B;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U124;0000-1019A;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U125;0000-1044A;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U126;0000-1017B;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U127;0000-1045_;0000_d_u1.pdf
g0000-1;MUC;S0017;bw0000;bt0000;UG 01;1.Untergeschoss;A U128;0000-1017A;0000_d_u1.pdf
