code,name,floorCode,posX,posY
0000-1030_,"A U111",g0030-1,4258,2140
0000-1111A,"A U111A",g0030-1,4138,2127
0000-1022_,"A U112",g0030-1,5073,2222
0000-1022A,"A U112A",g0030-1,5189,2240
0000-1031_,"A U113",g0030-1,4218,1905
0000-1021_,"A U114",g0030-1,5082,2049
0000-1034_,"A U115",g0030-1,4210,1566
0000-1018_,"A U116",g0030-1,5104,1822
0000-1034A,"A U117",g0030-1,4230,1352
0000-1020_,"A U118",g0030-1,5159,1914
0000-1019C,"A U120",g0030-1,5187,1831
0000-1019D,"A U120A",g0030-1,5172,1781
0000-1034C,"A U121",g0030-1,4242,1246
0000-1019B,"A U122",g0030-1,5201,1693
0000-1019A,"A U124",g0030-1,5214,1576
0000-1044A,"A U125",g0030-1,4243,1196
0000-1017B,"A U126",g0030-1,5207,1467
0000-1045_,"A U127",g0030-1,4252,1119
0000-1017A,"A U128",g0030-1,5219,1352
0000-1016A,"A U130",g0030-1,5242,1232
0000-1042A,"A U131",g0030-1,4651,1207
0000-1131A,"A U131A",g0030-1,4558,1148
0000-1131B,"A U131B",g0030-1,4657,1142
0000-1042_,"A U132",g0030-1,4843,1260
0000-1042B,"A U132A",g0030-1,4985,1201
0000-1132B,"A U132B",g0030-1,4753,1169
0000-1132C,"A U132C",g0030-1,4957,1273
0000-1041B,"A U133",g0030-1,4504,1730
0000-1041C,"A U134",g0030-1,4901,1772
0000-1037_,"A U135",g0030-1,4482,1840
0000-1039_,"A U136",g0030-1,4807,1872
0000-1041A,"A U136A",g0030-1,4789,1760
0000-1029_,"A U137",g0030-1,4461,2010
0000-1029A,"A U137A",g0030-1,4484,1922
0000-1036A,"A U137B",g0030-1,4409,2136
0000-1025A,"A U138",g0030-1,4882,1990
0000-1028A,"A U139",g0030-1,4675,1963
0000-1028_,"A U139A",g0030-1,4661,2062
0000-1027A,"A U139B",g0030-1,4557,2139
0000-1027_,"A U139C",g0030-1,4651,2149
0000-1027B,"A U139D",g0030-1,4769,2162
0000-1048_,"A U140",g0030-1,4691,742
0000-1140A,"A U140A",g0030-1,5148,1033
0000-1047_,"A U141",g0030-1,4352,705
0000-1014A,"A U142",g0030-1,4887,956
0000-1143_,"A U143",g0030-1,4298,678
0000-1014_,"A U144",g0030-1,4678,952
0000-1013_,"A U146",g0030-1,4570,941
0000-1046B,"A U147",g0030-1,4276,893
0000-1012_,"A U148",g0030-1,4478,927
0000-1046_,"A U149",g0030-1,4373,913
0000-1009A,"A U150",g0030-1,5274,1061
0000-1009B,"A U151",g0030-1,5304,987
0000-1008_,"A U152",g0030-1,5298,806
0000-1170_,"A U170",g0030-1,5221,1301
0000-1017C,"A U170A",g0030-1,5286,1308
0000-1032B,"A U171",g0030-1,4174,1790
0000-1025_,"A U174",g0030-1,4895,1865
0000-1026A,"A U176",g0030-1,4952,2215
0000-1026_,"A U176A",g0030-1,4857,2204
0000-1181_,"A U181",g0030-1,4645,2286
0000-1181A,"A U181A",g0030-1,4541,2201
0000-1181B,"A U181B",g0030-1,4648,2213
0000-1181C,"A U181C",g0030-1,4766,2226
0000-1082_,"A U182",g0030-1,4977,2766
0000-1182A,"A U182A",g0030-1,4977,2583
0000-1083_,"A U183",g0030-1,4446,2766
0000-1083A,"A U183A",g0030-1,4446,2498
0000-1024_,"A U184",g0030-1,4970,2124
0000-1015_,"A U184A",g0030-1,5036,1580
0000-1025B,"A U184B",g0030-1,4984,1929
0000-1024A,"A U184C",g0030-1,4975,2248
0000-1018A,"A U184E",g0030-1,5091,1940
0000-1036_,"A U185",g0030-1,4393,1713
0000-1043_,"A U185A",g0030-1,4421,1397
0000-1017_,"A U186",g0030-1,5153,1369
0000-1187_,"A U187",g0030-1,4770,1082
0000-1187A,"A U187A",g0030-1,4918,1171
0000-1010_,"A U188",g0030-1,5192,1009
0000-1008A,"A U188A",g0030-1,5212,824
0000-1188B,"A U188B",g0030-1,5301,1021
0000-1032A,"A U189",g0030-1,4169,1841
0000-1032_,"A U189A",g0030-1,4310,1736
0000-1031A,"A U189B",g0030-1,4162,1908
0000-1193A,"A U193A",g0030-1,4663,1705
0000-1193B,"A U193B",g0030-1,4758,1715
0000-1016_,"A U194",g0030-1,5169,1221
0000-1045A,"A U195",g0030-1,4376,1135
0000-1044B,"A U195A",g0030-1,4306,1203
0000-1010A,"A U196",g0030-1,5313,908
000000001_,"A 001",g003000,4263,2784
000000002_,"A 002",g003000,4790,2670
000000024A,"A 003",g003000,4171,2694
000000149D,"A 004",g003000,4790,2581
000000024B,"A 005",g003000,4142,2581
000000025A,"A 006",g003000,4578,2581
000000007_,"A 007",g003000,4362,2581
000000023B,"A 009",g003000,4343,2455
000000023C,"A 009A",g003000,4469,2360
000000114_,"A 011",g003000,3993,2093
000000112_,"A 014",g003000,4909,2233
000000116_,"A 015",g003000,4008,1900
000000110_,"A 016",g003000,4935,1905
000000117_,"A 017",g003000,4035,1658
000000109A,"A 020",g003000,4964,1648
000000118_,"A 021",g003000,4069,1337
000000109_,"A 022",g003000,4970,1564
000000118B,"A 027",g003000,4085,1030
000000106_,"A 028",g003000,5097,1212
000000100_,"A 030",g003000,4568,1283
000000109B,"A 070",g003000,4979,1322
000000070A,"A 070A",g003000,4983,1286
000000070B,"A 070B",g003000,5082,1334
000000118A,"A 071",g003000,4186,1237
000000071A,"A 071A",g003000,4180,1197
000000071B,"A 071B",g003000,4101,1228
000000016_,"A 080",g003000,4473,2940
000000018B,"A 080A",g003000,4173,2930
000000073A,"A 080B",g003000,4173,2880
000000023_,"A 081",g003000,4520,2670
000000025_,"A 082",g003000,4688,2569
000000024_,"A 083",g003000,4267,2581
000000083A,"A 083A",g003000,4131,2694
000000028_,"A 084",g003000,4794,2100
000000028X,"A 084A",g003000,4859,1490
000000028A,"A 084B",g003000,4873,2309
000000026_,"A 085",g003000,4202,2037
000000026X,"A 085A",g003000,4268,1427
000000026A,"A 085B",g003000,4080,2223
000000027_,"A 086",g003000,4498,2068
000000031_,"A 087",g003000,4678,1143
000000087A,"A 087A",g003000,4442,948
000000087B,"A 087B",g003000,4801,987
000000031E,"A 088",g003000,5104,1135
000000089_,"A 089",g003000,4664,972
000000017_,"A 090",g003000,4702,2934
000000018_,"A 091",g003000,4247,2935
000000093_,"A 093",g003000,4521,1859
000000093A,"A 093A",g003000,4346,1840
000000093B,"A 093B",g003000,4705,1879
000000031B,"A 096",g003000,5116,1021
000000031A,"A 097",g003000,4135,915
000001212A,"A 111",g003001,4154,2121
000001211A,"A 112",g003001,5075,2218
000001212_,"A 113",g003001,4167,1999
000001211_,"A 114",g003001,5088,2097
000001213_,"A 115",g003001,4178,1899
000001213A,"A 117",g003001,4188,1806
000001214_,"A 119",g003001,4213,1564
000001209_,"A 120",g003001,5118,1819
